epoch,upstream_bytes,llvm_bytes,iso_bytes,winsdk_bytes,total_bytes
1786730133,516113375,0,0,0,1016515061
1786730143,516113375,0,0,0,1023724021
1786730153,516113375,0,0,0,1028688373
1786730163,516113375,0,0,0,1034979829
1786730173,516113375,0,0,0,1041385973
1786730183,516113375,0,0,0,1050905077
1786730193,516113375,0,0,0,1058966005
1786730203,516113375,0,0,0,1066682869
1786730213,516113375,0,0,0,1073777141
1786730223,516113375,0,0,0,1080166901
1786730233,516113375,0,0,0,1086327285
1786730243,516113375,0,0,0,1102547445
1786730253,516113375,0,0,0,1109805557
1786730263,516113375,0,0,0,1114098165
1786730273,516113375,0,0,0,1119619573
1786730283,516113375,0,0,0,1124780533
1786730293,516113375,0,0,0,1128368629
1786730303,516113375,0,0,0,1133349365
1786730313,516113375,0,0,0,1133349365
1786730323,516113375,0,0,0,1133349365
1786730333,516113375,0,0,0,1133349365
1786730343,516113375,0,0,0,1133349365
1786730353,516113375,0,0,0,1133349365
1786730363,516113375,0,0,0,1133349365
1786730373,516113375,0,0,0,1133349365
1786730383,516113375,0,0,0,1133349365
1786730393,516113375,0,0,0,1133349365
1786730403,516113375,0,0,0,1133349677
1786730413,516113375,0,0,0,1145930407
1786730424,516113375,0,0,0,1158333095
1786730434,516113375,0,0,0,1164460711
1786730446,516113375,0,655404852,0,1171522215
1786730457,516113375,0,661335860,0,1177453223
1786730467,516113375,0,666595124,0,1182712487
1786730477,516113375,0,671199028,0,1187316391
1786730487,516113375,0,677277492,0,1193411239
1786730497,516113375,0,689123124,0,1205240487
1786730507,516113375,0,695693108,0,1211876007
1786730517,516113375,0,704704308,0,1220838055
1786730527,516113375,0,712093492,0,1228243623
1786730537,516113375,0,717762356,0,1233896103
1786730547,516113375,0,725069620,0,1241186983
1786730557,516113375,0,731442996,0,1247560359
1786730567,516113375,0,737652532,0,1253786279
1786730577,516113375,0,743386932,0,1259504295
1786730587,516113375,0,746811188,0,1262944935
1786730597,516113375,0,757362484,0,1273496231
1786730607,516113375,0,765275956,0,1281393319
1786730617,516113375,0,769371956,0,1285489319
1786730627,516113375,0,782561076,0,1298858663
1786730637,516113375,0,790507316,0,1306641063
1786730647,516113375,0,797847348,0,1313964711
1786730657,516113375,0,804400948,0,1320518311
1786730667,516113375,0,804400948,0,1320518623
1786730677,516113375,0,1552509017,0,2068626692
1786730687,516113375,0,1552509017,0,2068626692
1786730697,516113375,0,1552509017,0,2068626692
1786730707,516113375,0,1552509017,0,2068626692
1786730717,516113375,0,1552509017,0,2068626692
1786730727,516113375,0,1552509017,0,2068626692
